2026-03-25 12:00:00 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 3e+01 | Delta: 0.9 | Ratio: 0.980 | Score: 0.090
2026-03-25 12:01:31 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 2e+01 | Delta: 0.9 | Ratio: 0.996 | Score: 0.070
2026-03-25 12:01:38 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.3 | Ratio: 0.974 | Score: 0.027
2026-03-25 12:01:45 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 0.2 | Ratio: 0.994 | Score: 0.082
2026-03-25 12:01:52 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.7 | Ratio: 0.995 | Score: 0.044
2026-03-25 12:01:59 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.7 | Ratio: 0.960 | Score: 0.038
2026-03-25 12:02:06 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.6 | Ratio: 0.979 | Score: 0.059
2026-03-25 12:02:13 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.994 | Score: 0.059
2026-03-25 12:02:20 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.6 | Ratio: 0.980 | Score: 0.046
2026-03-25 12:02:27 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.3 | Ratio: 0.982 | Score: 0.076
2026-03-25 12:02:34 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 0.7 | Ratio: 0.996 | Score: 0.028
2026-03-25 12:02:41 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 0.6 | Ratio: 0.979 | Score: 0.085
2026-03-25 12:02:48 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.4 | Ratio: 0.986 | Score: 0.078
2026-03-25 12:02:55 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.9 | Ratio: 0.967 | Score: 0.024
2026-03-25 12:03:02 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.9 | Ratio: 0.973 | Score: 0.053
2026-03-25 12:03:09 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.2 | Ratio: 0.971 | Score: 0.028
2026-03-25 12:03:16 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.9 | Ratio: 0.982 | Score: 0.027
2026-03-25 12:03:23 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.1 | Ratio: 0.985 | Score: 0.072
2026-03-25 12:03:30 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 2e+01 | Delta: 1e+00 | Ratio: 0.996 | Score: 0.033
2026-03-25 12:03:37 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.6 | Ratio: 0.989 | Score: 0.058
2026-03-25 12:03:44 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 3e+01 | Delta: 0.3 | Ratio: 0.990 | Score: 0.048
2026-03-25 12:03:51 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.987 | Score: 0.023
2026-03-25 12:03:58 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.978 | Score: 0.071
2026-03-25 12:04:05 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.1 | Ratio: 0.997 | Score: 0.037
2026-03-25 12:04:12 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 3e+01 | Delta: 0.4 | Ratio: 0.995 | Score: 0.071
2026-03-25 12:04:19 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 1e+00 | Ratio: 0.982 | Score: 0.021
2026-03-25 12:04:26 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 3e+01 | Centro: 2e+01 | Delta: 1e+00 | Ratio: 0.986 | Score: 0.028
2026-03-25 12:04:33 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.967 | Score: 0.037
2026-03-25 12:04:40 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.8 | Ratio: 0.978 | Score: 0.023
2026-03-25 12:04:47 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 0.4 | Ratio: 0.969 | Score: 0.030
2026-03-25 12:04:54 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.3 | Ratio: 0.986 | Score: 0.020
2026-03-25 12:05:01 | Clase: CHICA | Estado: NORMAL | H_Max: 3e+01 | Borde: 2e+01 | Centro: 2e+01 | Delta: 0.8 | Ratio: 0.988 | Score: 0.086
2026-03-25 12:05:08 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.2 | Ratio: 0.980 | Score: 0.083
2026-03-25 12:05:15 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.5 | Ratio: 0.965 | Score: 0.072
2026-03-25 12:05:22 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.962 | Score: 0.038
2026-03-25 12:05:29 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+00 | Ratio: 0.976 | Score: 0.028
2026-03-25 12:05:36 | Clase: MEDIANA | Estado: NORMAL | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 0.4 | Ratio: 0.995 | Score: 0.024
2026-03-25 12:05:43 | Clase: GRANDE | Estado: NORMAL | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 0.2 | Ratio: 0.961 | Score: 0.023
2026-03-25 12:05:50 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 6e+00 | Ratio: 0.703 | Score: 0.385
2026-03-25 12:05:57 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 6e+00 | Ratio: 0.927 | Score: 0.259
2026-03-25 12:06:04 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 9e+00 | Ratio: 0.900 | Score: 0.328
2026-03-25 12:06:11 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 1e+01 | Ratio: 0.910 | Score: 0.464
2026-03-25 12:06:18 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 7e+00 | Ratio: 0.898 | Score: 0.292
2026-03-25 12:06:25 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 2e+01 | Delta: 6e+00 | Ratio: 0.727 | Score: 0.349
2026-03-25 12:06:32 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.892 | Score: 0.379
2026-03-25 12:06:39 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.924 | Score: 0.322
2026-03-25 12:06:46 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 6e+00 | Ratio: 0.850 | Score: 0.493
2026-03-25 12:06:53 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 8e+00 | Ratio: 0.892 | Score: 0.312
2026-03-25 12:07:00 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.865 | Score: 0.445
2026-03-25 12:07:07 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 5e+00 | Ratio: 0.737 | Score: 0.283
2026-03-25 12:07:14 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 9e+01 | Delta: 1e+01 | Ratio: 0.896 | Score: 0.463
2026-03-25 12:07:21 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 4e+00 | Ratio: 0.716 | Score: 0.418
2026-03-25 12:07:28 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.913 | Score: 0.366
2026-03-25 12:07:35 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 5e+00 | Ratio: 0.876 | Score: 0.305
2026-03-25 12:07:42 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 1e+01 | Ratio: 0.853 | Score: 0.291
2026-03-25 12:07:49 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 5e+00 | Ratio: 0.725 | Score: 0.339
2026-03-25 12:07:56 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 5e+00 | Ratio: 0.700 | Score: 0.319
2026-03-25 12:08:03 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 8e+00 | Ratio: 0.890 | Score: 0.253
2026-03-25 12:08:10 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 8e+00 | Ratio: 0.922 | Score: 0.278
2026-03-25 12:08:17 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.920 | Score: 0.400
2026-03-25 12:08:24 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 6e+00 | Ratio: 0.919 | Score: 0.324
2026-03-25 12:08:31 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 5e+00 | Ratio: 0.744 | Score: 0.287
2026-03-25 12:08:38 | Clase: CHICA | Estado: ABOLLADA | H_Max: 4e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 5e+00 | Ratio: 0.749 | Score: 0.400
2026-03-25 12:08:45 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 8e+00 | Ratio: 0.896 | Score: 0.342
2026-03-25 12:08:52 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 6e+00 | Ratio: 0.917 | Score: 0.445
2026-03-25 12:08:59 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 6e+00 | Ratio: 0.714 | Score: 0.282
2026-03-25 12:09:06 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 5e+00 | Ratio: 0.703 | Score: 0.331
2026-03-25 12:09:13 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.928 | Score: 0.341
2026-03-25 12:09:20 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.897 | Score: 0.488
2026-03-25 12:09:27 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.902 | Score: 0.300
2026-03-25 12:09:34 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 9e+00 | Ratio: 0.902 | Score: 0.313
2026-03-25 12:09:41 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 4e+00 | Ratio: 0.775 | Score: 0.323
2026-03-25 12:09:48 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 6e+00 | Ratio: 0.709 | Score: 0.439
2026-03-25 12:09:55 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 6e+00 | Ratio: 0.741 | Score: 0.318
2026-03-25 12:10:02 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 4e+01 | Delta: 6e+00 | Ratio: 0.754 | Score: 0.354
2026-03-25 12:10:09 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 2e+01 | Delta: 7e+00 | Ratio: 0.700 | Score: 0.454
2026-03-25 12:10:16 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 4e+00 | Ratio: 0.759 | Score: 0.274
2026-03-25 12:10:23 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 5e+00 | Ratio: 0.876 | Score: 0.297
2026-03-25 12:10:30 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 3e+00 | Ratio: 0.778 | Score: 0.392
2026-03-25 12:10:37 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.900 | Score: 0.354
2026-03-25 12:10:44 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.915 | Score: 0.302
2026-03-25 12:10:51 | Clase: CHICA | Estado: ABOLLADA | H_Max: 4e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 6e+00 | Ratio: 0.767 | Score: 0.353
2026-03-25 12:10:58 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.882 | Score: 0.445
2026-03-25 12:11:05 | Clase: CHICA | Estado: ABOLLADA | H_Max: 3e+01 | Borde: 3e+01 | Centro: 3e+01 | Delta: 4e+00 | Ratio: 0.766 | Score: 0.444
2026-03-25 12:11:12 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.888 | Score: 0.457
2026-03-25 12:11:19 | Clase: MEDIANA | Estado: ABOLLADA | H_Max: 1e+02 | Borde: 1e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.922 | Score: 0.500
2026-03-25 12:11:26 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 1e+02 | Delta: 1e+01 | Ratio: 0.895 | Score: 0.380
2026-03-25 12:11:33 | Clase: GRANDE | Estado: ABOLLADA | H_Max: 2e+02 | Borde: 2e+02 | Centro: 2e+02 | Delta: 1e+01 | Ratio: 0.917 | Score: 0.459
